Id del anuncio;Título;Tipo de inmueble;Tipo de vendedor;Habitaciones;Barrio;Municipio;Euros/m2;Metros cuadrados construidos;Obra nueva (Sí/No);Parking (Sí/No);Jardín (Sí/No);Precio
104335278;Piso en calle Jesús Arias de Velasco;Piso;Profesional;5;Llamaquique;Oviedo;2633;150;No;Sí;Sí;395000
107212330;Dúplex en calle Hernán Cortés;Duplex;Profesional;3;La Calzada;Gijón;1772;110;No;Sí;No;194900
103731399;Piso en calle San Francisco;Piso;Profesional;4;Salesas-Foncalada-Campoamor;Oviedo;982;166;No;No;No;163000
106050260;Casa independiente en Lugar Villamiana;Chalet;Profesional;3;-;Oviedo;1615;247;No;Sí;Sí;399000
105219856;Dúplex en calle Pelayo;Duplex;Profesional;4;Salesas-Foncalada-Campoamor;Oviedo;2536;197;No;No;No;499500
106698762;Piso en calle Uría;Piso;Profesional;4;Salesas-Foncalada-Campoamor;Oviedo;2230;269;No;No;No;600000
105521158;Piso en calle Estación;Piso;Profesional;3;-;Siero;1048;105;No;Sí;No;110000
98404562;Piso en avenida de Galicia;Piso;Profesional;3;Buenavista;Oviedo;3235;85;No;Sí;Sí;275000
102614733;Casa independiente en alto Lugar Monte;Chalet;Profesional;4;-;Oviedo;1958;355;No;Sí;Sí;695000
104338995;Piso en calle Tenderina Alta;Piso;Profesional;5;Fozaneldi-Tenderina;Oviedo;1496;137;No;No;No;205000
106033972;Chalet pareado en avenida de las Gaviotas;Chalet;Profesional;5;-;Llanes;3474;367;No;Sí;Sí;1275000
107203956;Piso en calle Guipúzcoa;Piso;Profesional;3;Pumarín;Gijón;2230;74;No;Sí;No;165000
106980429;Casa independiente en carretera del Villar;Chalet;Profesional;4;-;Siero;2459;305;No;Sí;Sí;750000
101808411;Piso en calle Fuertes Acevedo;Piso;Profesional;4;La Ería;Oviedo;1458;240;No;Sí;No;350000
105365554;Casa independiente en Camín del Cuetu;Chalet;Profesional;4;-;Siero;3330;300;No;Sí;Sí;999000
106010771;Ático en carretera de Toro;Ático;Profesional;4;-;Llanes;5603;141;No;Sí;No;790000
107079595;Casa independiente en Lugar Latores;Chalet;Profesional;4;-;Oviedo;1026;380;No;Sí;Sí;390000
101313742;Casa independiente en Vía;Chalet;Profesional;6;-;Siero;1623;300;No;Sí;Sí;487000
105524471;Casa independiente en Aldea Covadonga;Chalet;Profesional;3;-;Oviedo;2022;138;No;Sí;Sí;279000
104970170;Piso en avenida de Oviedo;Piso;Profesional;3;-;Siero;1224;98;No;No;No;120000
87591186;Dúplex en avenida de Galicia;Duplex;Profesional;5;Plaza de América;Oviedo;2941;204;No;Sí;No;600000
107151369;Piso en calle Río Deva;Piso;Profesional;3;Fozaneldi-Tenderina;Oviedo;949;79;No;No;No;75000
106686147;Piso en calle Cervantes;Piso;Profesional;5;Plaza de América;Oviedo;3395;162;No;Sí;No;550000
104722170;Casa independiente en Las Mazas;Chalet;Profesional;3;-;Oviedo;935;309;No;Sí;Sí;289000
105420029;Casa independiente en Camin del Barréu;Chalet;Profesional;6;Cabueñes;Gijón;4353;363;No;No;Sí;1580000
105055259;Piso en avenida Fernández Balsera;Piso;Profesional;4;-;Avilés;1133;128;No;No;No;145000
102341030;Casa independiente en camino de Paredes;Chalet;Profesional;4;-;Siero;1148;344;No;Sí;Sí;395000
105788898;Piso en calle Ruiz Gómez;Piso;Profesional;3;-;Avilés;2453;161;No;No;No;395000
105241520;Casa independiente en Barrio Llugarin;Chalet;Profesional;5;-;Siero;683;615;No;Sí;Sí;420000
105710442;Casa independiente en camino de Rubín;Chalet;Profesional;4;Jove - Veriña;Gijón;1577;222;No;Sí;Sí;350000
104722170;Casa independiente en Las Mazas;Chalet;Profesional;3;-;Oviedo;935;309;No;Sí;Sí;289000
106686147;Piso en calle Cervantes;Piso;Profesional;5;Plaza de América;Oviedo;3395;162;No;Sí;No;550000
105088010;Casa independiente en Póo;Chalet;Profesional;8;-;Llanes;2104;328;No;Sí;Sí;690000
105448403;Piso en calle Álvarez Garaya;Piso;Profesional;4;Centro - Puerto;Gijón;3600;175;No;No;No;630000
103686546;Casa independiente en Lugar Ardisana;Chalet;Profesional;5;-;Llanes;1818;330;No;No;Sí;600000
107151369;Piso en calle Río Deva;Piso;Profesional;3;Fozaneldi-Tenderina;Oviedo;949;79;No;No;No;75000
105055259;Piso en avenida Fernández Balsera;Piso;Profesional;4;-;Avilés;1133;128;No;No;No;145000
101313742;Casa independiente en Vía;Chalet;Profesional;6;-;Siero;1623;300;No;Sí;Sí;487000
106096690;Piso en calle Padre Suárez;Piso;Profesional;3;Santo Domingo-El Campillín;Oviedo;1605;81;No;No;No;130000
106358590;Piso en calle del Peso;Piso;Profesional;3;Casco Histórico;Oviedo;2394;188;No;No;No;450000
106116404;Piso en calle Tirso de Molina;Piso;Profesional;3;El Coto;Gijón;4400;100;No;Sí;No;440000
106502478;Piso en calle José Ramón Zaragoza;Piso;Profesional;3;Masip;Oviedo;2103;107;No;Sí;No;225000
102341030;Casa independiente en camino de Paredes;Chalet;Profesional;4;-;Siero;1148;344;No;Sí;Sí;395000
106439222;Piso en plaza les Campes;Piso;Profesional;4;-;Siero;1173;127;No;No;No;149000
104970170;Piso en avenida de Oviedo;Piso;Profesional;3;-;Siero;1224;98;No;No;No;120000
101197618;Piso en calle Doctor Alfredo Martínez;Piso;Profesional;5;Plaza de América;Oviedo;2273;165;No;Sí;Sí;375000
107564047;Piso en avenida de Cervantes;Piso;Profesional;3;-;Avilés;1621;98;No;Sí;No;158900
103621855;Casa independiente en calle q;Chalet;Profesional;5;-;Oviedo;1000;200;No;No;No;200000
97680875;Piso en Marqués de Urquijo, 37 --19;Piso;Profesional;3;La Arena;Gijón;3150;200;No;No;No;630000
84480875;Casa independiente en camino Arriba, 1392 --1400;Chalet;Profesional;3;Somió;Gijón;2874;341;No;No;Sí;980000
107341610;Piso en calle Conde Toreno, 29;Piso;Profesional;3;El Coto;Gijón;2849;73;No;No;No;208000
